
НД: 200000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;44.1202п2;44.4218п3;44.4432п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;42.7776п2;42.3468п3;42.3213п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;92.3368п2;138.1737п3;168.9890п4;
Параллельное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;26.1323п2;19.5950п3;16.7411п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;24.6039п2;17.6610п3;14.5093п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;75.6736п2;113.4144п3;140.9924п4;
Параллельное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;24.6559п2;17.9892п3;14.9547п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;23.1598п2;15.9351п3;12.7720п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;72.6603п2;111.2399п3;140.6076п4;
Параллельное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;26.1279п2;19.5258п3;16.6808п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;24.5086п2;17.5103п3;14.4004п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;75.3443п2;112.5718п3;140.6614п4;
